product,period,scenario,optimal_underage
p1,1,scenario_1,12.0
p2,1,scenario_1,23.0
p3,1,scenario_1,0.0
p1,2,scenario_1,0.0
p2,2,scenario_1,13.0
p3,2,scenario_1,0.0
p1,3,scenario_1,0.0
p2,3,scenario_1,0.0
p3,3,scenario_1,0.0
p1,4,scenario_1,8.0
p2,4,scenario_1,0.0
p3,4,scenario_1,34.418367
p1,5,scenario_1,11.077778
p2,5,scenario_1,0.0
p3,5,scenario_1,0.0
p1,6,scenario_1,0.0
p2,6,scenario_1,42.0
p3,6,scenario_1,1.0
p1,7,scenario_1,0.0
p2,7,scenario_1,0.0
p3,7,scenario_1,0.0
p1,8,scenario_1,0.0
p2,8,scenario_1,3.0
p3,8,scenario_1,2.5510204
p1,9,scenario_1,0.0
p2,9,scenario_1,0.0
p3,9,scenario_1,0.0
p1,10,scenario_1,0.0
p2,10,scenario_1,0.0
p3,10,scenario_1,0.0
p1,11,scenario_1,11.166667
p2,11,scenario_1,19.0
p3,11,scenario_1,0.0
p1,12,scenario_1,0.0
p2,12,scenario_1,0.0
p3,12,scenario_1,0.0
p1,1,scenario_2,0.0
p2,1,scenario_2,0.0
p3,1,scenario_2,4.7755102
p1,2,scenario_2,0.0
p2,2,scenario_2,0.0
p3,2,scenario_2,1.4387755
p1,3,scenario_2,0.0
p2,3,scenario_2,0.0
p3,3,scenario_2,0.0
p1,4,scenario_2,0.0
p2,4,scenario_2,1.0
p3,4,scenario_2,0.0
p1,5,scenario_2,0.0
p2,5,scenario_2,0.0
p3,5,scenario_2,0.0
p1,6,scenario_2,10.611111
p2,6,scenario_2,62.0
p3,6,scenario_2,0.0
p1,7,scenario_2,0.0
p2,7,scenario_2,0.0
p3,7,scenario_2,0.0
p1,8,scenario_2,0.0
p2,8,scenario_2,0.0
p3,8,scenario_2,5.5510204
p1,9,scenario_2,0.0
p2,9,scenario_2,0.0
p3,9,scenario_2,1.0
p1,10,scenario_2,54.0
p2,10,scenario_2,2.0
p3,10,scenario_2,10.357143
p1,11,scenario_2,23.166667
p2,11,scenario_2,0.0
p3,11,scenario_2,9.0
p1,12,scenario_2,0.0
p2,12,scenario_2,0.0
p3,12,scenario_2,0.0
p1,1,scenario_3,0.0
p2,1,scenario_3,0.0
p3,1,scenario_3,0.0
p1,2,scenario_3,-1.0018653e-12
p2,2,scenario_3,0.0
p3,2,scenario_3,0.0
p1,3,scenario_3,0.0
p2,3,scenario_3,0.0
p3,3,scenario_3,0.0
p1,4,scenario_3,0.0
